eID,eName,eDescription
0,고급 인력,마을에 농업 전문 대학이 건설된다고 합니다.
1,땅이 얼다,날씨가 너무 추워져 땅이 완전히 얼었다고 합니다.
2,이자 면제,국가에서 농부 대상 지원 정책을 발표했습니다!
3,무료 교육,국가에서 농업 종사자를 대상으로 무료 교육을 실시한다고 합니다.
4,은행 공격,우리농장은행이 해킹당했습니다! 현재 복구 작업 중에 있지만 전문가들은 전부 복구하기는 힘들 것 같다고 합니다…
5,농업 종사자 증가,도시 생활에 회의감이 든 수많은 사람들이 농업에 종사한다고 합니다.
6,설날,설이 돌아왔습니다! 설 선물에 대한 수요가 증가한다고 합니다.
7,은행 휴가,우리농장은행이 잠시 휴업한다고 합니다.
8,봄맞이 행사,봄을 맞이하여 농협에서 작물 종자 가격을 할인한다고 합니다.
9,단비,내일 비가 온다고 합니다. 그것도 식물들이 자라기 딱 좋을 정도로요!
10,이자율 감소,요즘 호황이라고 합니다. 이자율이 감소합니다!
11,새로운 출발,새로운 출발을 즐깁시다!
12,비료 할인,비료 회사가 비료 할인 행사를 시작했습니다!
13,화이트데이,화이트데이 때문에 사탕의 수요가 급증하고 있습니다!
14,바쁜 일손,4월은 농부들에게 준비의 계절이라고들 합니다. 빠르게 움직이지 않으면 안되죠!
15,무료 비료,비료 회사에서 자선 사업으로 많은 농장에 비료를 무료 지급하고 있습니다!
16,디저트 유행,새로 생긴 디저트 카페가 요즘 엄청나게 인기라고 합니다.
17,발주 실수,농협에서 한 신입사원이 실수로 대량으로 비료를 발주해버렸다고 합니다. 누군가는 그걸 처리해야겠죠!
18,어린이날 행사,어린이날 행사 때 사용할 디저트 재료들이 부족하다고 합니다!
19,장마철,한동안 장마가 계속된다고 합니다. 비료는 못 쓰겠죠.
20,이자율 증가,요즘 불황이라고 합니다. 이자율이 증가합니다!
21,가뭄,비가 계속 내리질 않아 가뭄이 시작된다고 합니다.
22,추석,한가위가 되면 가족들이 모여 맛있는 음식을 먹습니다! 덕분에 농부들은 좋아하죠.
23,수확의 계절,가을은 수확하기 좋은 때죠.
24,크리스마스,크리스마스입니다! 즐거운 성탄절 되시길 바래요.
25,혹한의 날씨,너무 날씨가 추워져서 많은 작물들이 죽어간다고 합니다.
26,땅이 얼다,날씨가 너무 추워져 땅이 완전히 얼었다고 합니다.
