eID,eName,eDataName,eGrowthTime,eComparePrice,eSalePrice,eScoreIncreaseRatio,eBuffWeather,eDebuffWeather,eUnlockLevel,eDescription
0,파,seed_GreenOnion,720,90,50,3,eCold,eRain,1,추위에 강하며 토질을 가리지 않고 연작이 가능하다.
1,상추,seed_Lettuce,1440,300,150,5,eDrought,eRain,1,가꾸기도 쉽고 비교적 땅도 가리지 않는 효자 작물이다. 상추 잎줄기의 우윳빛 액즙 성분이 스트레스 및 불면증을 완화하는 효능이 있다. 하지만 폭우가 오면 삼겹살보다 비싸지는 경우도 있을정도로 홍수에 약하다.
2,감자,seed_Potato,2160,540,300,6,eSunny,eCold,1,"서늘한 기후를 좋아한다. 물 빠짐이 좋고 햇볕이 잘 드는 곳에서 재배한다. 지방이 거의 없으며, 껍질부분에 비타민 C가 매우많다고 한다."
3,배추,seed_Cabbage,2880,840,400,7,eCold,eRain,2,배추는 원래 중국 북방에서 들여온 작물로 상대적으로 낮은온도에서도 잘 자란다.
4,보리,seed_Barley,3600,1200,600,8,eCold,eRain,2,추위에 강하다. 옛날엔 쌀이 떨어질때 먹으려고 재배했다. 겨울에 심어서 여름에 재배한다.
5,벼,seed_Rice,4320,1620,800,9,eRain,eSunny,2,"야생성이 강하고, 물을 매우 좋아한다. 홍수가 나서 물에 잡기더라도 금방 쑥쑥 자라 물위로 나올정도."
6,밀,seed_Wheat,5040,2100,1000,10,eDrought,eRain,3,"우리가 많이 먹는 빵 면 요리에 많이 사용되며, 벼보다 성장속도가 느리다. 하지만 단백질과 미네랄 비타민 함량이 벼보다 많다. "
7,옥수수,seed_Corn,5760,2640,1300,11,eRain,eSunny,3,옥수수는 엄청나게 높은 생산량과 짧은 수확기간을 지니고 있고 추위에 약하다.
8,담배,seed_Tobacco,6480,3510,1800,13,eSunny,eCold,3,"실제로 담배는 땅을 오염시켜 연작이 어렵고, 비가오면 줄기의 진액이 빠져나간다."
9,카카오,seed_Kakao,7200,4500,2200,15,eDrought,eRain,4,"초콜릿의 원재료로 쓰이는 작물, 아프리카 열대지방이 원산지다 보니 더위에 강하다. 생각보다 기르기 어렵다. 특히 묘목일때는 직사광선에 약하다."
10,커피,seed_Coffee,7920,5280,2600,16,eDrought,eRain,4,"따뜻한 곳, 고지대에서 잘자란다. 그리고 우리가 우려내서 먹는 커피원두는 사실 열매가 아닌 씨앗이다."
11,사탕수수,seed_SugarCane,8640,6120,3000,17,eSunny,eCold,4,"다 자라고 나면 무려 6m 까지 자란다. 대나무 처럼 생긴 줄기에서 당분인 즙이 많이 나오고, 이를 가공해 설탕으로 만든다. 토양을 가리지 않고 잘자란다. 추위에 약하고 서리에 견딜 수 없다."
